epoch,loss,my_loss,val_loss,val_my_loss
0,0.035166805647313594,0.03459799119271338,0.0183938629925251,0.017826445028185846
1,0.020303322933614254,0.019738688068464398,0.01643934119492769,0.015877473074942826
2,0.017019330933690072,0.016458032312802972,0.013689429825171828,0.013129840837791562
3,0.016214225669391454,0.015656158360652626,0.01652588355354965,0.01597029808908701
4,0.015238750774879009,0.014686196204274892,0.013071366073563694,0.012520971428602933
5,0.014023624311666935,0.013475550466682761,0.012048896495252847,0.011505021480843425
6,0.013948485611472279,0.013409267282113432,0.013289604848250747,0.012755447439849377
7,0.012770130368880927,0.012240976842585951,0.013552218512631952,0.013027558661997318
8,0.01430559519212693,0.013785024145618082,0.012168687023222446,0.011652842257171869
9,0.01299882957013324,0.012487742835655808,0.012758901203051209,0.012252269173040986
10,0.012753824749961496,0.012251765597611666,0.01112517628353089,0.01062750448472798
11,0.012882778116036206,0.012389913580846042,0.01303320680744946,0.012545229867100716
12,0.012947730941232295,0.012465113569051027,0.011342718731611967,0.010863901767879724
13,0.012591070786584169,0.01211795482551679,0.010763338673859835,0.0102953199762851
14,0.01351329755038023,0.01304982784204185,0.014156460762023926,0.013696684315800668
15,0.011311700865626335,0.010856756544671952,0.013158635469153523,0.012709077214822173
16,0.011019542403519154,0.01057517423061654,0.010877979174256324,0.010439779981970787
17,0.011060795290395617,0.01062876800308004,0.009903458924964071,0.009477145783603192
18,0.01109052480198443,0.010669671082869172,0.011357003031298519,0.01094135814346373
19,0.011815154266078026,0.011404635531362147,0.011416305601596833,0.011010850360617042
20,0.011060998803004622,0.010661793376784771,0.010559216816909611,0.010165394144132733
21,0.011769830016419291,0.011380582733545452,0.00987848152872175,0.009493356919847429
22,0.011627860465086997,0.011247930557001382,0.014065301022492349,0.013689414109103381
23,0.010838850340805948,0.01046821745345369,0.010154098202474416,0.009789348510093988
24,0.011213641660287977,0.010853988770395517,0.012176659354008735,0.011822307808324694
25,0.010654677029233426,0.010305500645190478,0.009003684599883854,0.008659762400202452
26,0.012127373064868153,0.011787186099682004,0.008520857035182416,0.008183428063057363
27,0.010185529596637934,0.009853257888462395,0.009322222182527184,0.008995091123506428
28,0.012549854337703437,0.012224732113536448,0.012688167230226099,0.012366917612962425
29,0.009638559501618148,0.0093223219900392,0.009645615913905203,0.009334601042792202
30,0.010554258460178972,0.010247688787057996,0.009593899990431965,0.009290941606741399
31,0.009794976469129324,0.009496740917675196,0.010505169164389372,0.010211389977484941
32,0.01014328726567328,0.00985324861598201,0.009210236486978829,0.008924174983985723
33,0.00963299380033277,0.00935109577840194,0.008469042368233204,0.008191005396656691
34,0.009832479654578492,0.009556651368038729,0.0075350817758589985,0.007262547733262181
35,0.009292267344426364,0.009023263154085725,0.008628743910230696,0.008362895087338984
